Feature,Fisher_Score,Rank,Category
bbox_perimeter,10.624767487477385,1,Shape
bbox_width,9.03676292155329,2,Shape
bbox_height,9.031462559789071,3,Shape
bbox_area,7.5556996969287065,4,Shape
kurt_B,0.9589101277540345,5,RGB Color
skew_B,0.9376440366358917,6,RGB Color
std_S,0.8663201459459464,7,HSV Color
std_B,0.5061194190428977,8,RGB Color
circularity,0.4341567481992275,9,Shape
kurt_R,0.24992792332085545,10,RGB Color
contrast,0.232487892485731,11,Texture
kurt_G,0.22630655376402925,12,RGB Color
bbox_aspect_ratio,0.22247241050051628,13,Shape
skew_G,0.16454131640374095,14,RGB Color
skew_R,0.15988949005437278,15,RGB Color
mean_S,0.14137725455511418,16,HSV Color
std_V,0.12674702798603565,17,HSV Color
std_R,0.12373025575028146,18,RGB Color
std_G,0.11080022128929645,19,RGB Color
mean_B,0.041971157828129504,20,RGB Color
mean_V,0.035202904002348545,21,HSV Color
mean_R,0.035179332330885354,22,RGB Color
mean_G,0.03474906248591043,23,RGB Color
energy,0.03295526102838942,24,Texture
mean_H,0.013352293577848399,25,HSV Color
std_H,0.013334718136903533,26,HSV Color
edge_density,0.003108372971611915,27,Texture
gradient_mean,0.002829258516787342,28,Texture
gradient_std,0.002819643777974876,29,Texture
